,Variable Name,Y (Normal),Y (Total Pressure),Y (Relative Error),Ydot (Normal),Ydot (Total Pressure),Ydot (Relative Error)
0,P_V0_J0,77274.12563481202,77274.1497698238,3.123297944025737e-07,0.06736381669767413,0.06736355113346101,3.942238224294841e-06
1,Q_V0_J0,36.82151511431271,36.82151511431814,1.474286564350814e-13,7.717839084055253e-06,7.718096962802587e-06,3.341333558859586e-05
2,P_J0_V1,77274.12563481202,77274.177690137,6.736449562271763e-07,0.06736381669767413,0.06736368063001286,2.01989239843442e-06
3,Q_J0_V1,4.167192668363259,4.167195475561515,6.736425405486145e-07,1.8669226020398649e-06,1.8669679575693855e-06,2.429427415526871e-05
4,P_J0_V2,77274.12563481202,77274.02705897654,1.2756641976884048e-06,0.06736381669767413,0.06736358313882924,3.467126067655788e-06
5,Q_J0_V2,20.41804365060624,20.418017692916962,1.2713112834036726e-06,5.383421678766648e-07,5.382193836926249e-07,0.00022807833264145393
6,P_J0_V3,77274.12563481202,77274.18684135584,7.920703510431261e-07,0.06736381669767413,0.06736379095654799,3.8212095764715807e-07
7,Q_J0_V3,8.269722529558797,8.269741051098885,2.2396809593186114e-06,3.8045207733163914e-06,3.8048776167155403e-06,9.379457240756029e-05
8,P_J0_V6,77274.12563481202,77274.21582372695,1.1671295428269538e-06,0.06736381669767413,0.06736362720110572,2.8130319465048364e-06
9,Q_J0_V6,3.966556265784416,3.96656089474078,1.166996269263587e-06,1.5080534889288295e-06,1.5080319392745856e-06,1.4289714789390004e-05
10,P_V3_J1,77211.8015193205,77211.86258605847,7.908990175646833e-07,0.06745205790693617,0.0674519903561061,1.001464331328272e-06
11,Q_V3_J1,8.269722419249991,8.269740940789047,2.2396808643932015e-06,4.968979440862975e-06,4.969277710376335e-06,6.002631262808466e-05
12,P_J1_V4,77211.8015193205,77211.92705017353,1.6257987840383246e-06,0.06745205790693617,0.0674519285234933,1.918154121475046e-06
13,Q_J1_V4,4.1159418441785744,4.115948535803497,1.625782184478903e-06,2.9064490599615027e-06,2.906514540156272e-06,2.25292765908995e-05
14,P_J1_V5,77211.8015193205,77212.0214225728,2.8480523438665587e-06,0.06745205790693617,0.06745291297729966,1.2676712764888634e-05
15,Q_J1_V5,4.1537805750714165,4.153792404985551,2.847987254190882e-06,2.062530402168834e-06,2.0627631743212385e-06,0.00011285756183745868
16,P_BC0_inlet_V0,77294.02307940557,77294.04721441797,3.1224940087666936e-07,0.06731142646457147,0.06731119404403954,3.4529134819901854e-06
17,Q_BC0_inlet_V0,36.82151584542117,36.82151584542117,0.0,1.1286689386915208e-17,1.1182409730485668e-17,0.009239171279970962
18,P_V1_BC1_outlet,76853.29436150796,76853.34613315448,6.736425153366527e-07,0.0677405379545602,0.06774038289925843,2.288958819146967e-06
19,Q_V1_BC1_outlet,4.167192497267075,4.1671953044651096,6.736425151361195e-07,3.6730743387505846e-06,3.673065917023704e-06,2.2928277796004006e-06
20,P_V2_BC2_outlet,76313.65470946202,76313.55769107949,1.2713109193361136e-06,0.07036968373174206,0.07036947755406442,2.929921902520699e-06
21,Q_V2_BC2_outlet,20.418041918060503,20.418015960380863,1.2713109192205008e-06,1.882770726226131e-05,1.882765209953766e-05,2.929869414476812e-06
22,P_V4_BC4_outlet,76912.2914033553,76912.41644597352,1.6257819906504329e-06,0.06756705915597855,0.0675668922956925,2.4695508156041658e-06
23,Q_V4_BC4_outlet,4.115941776978762,4.115948468602777,1.6257819907011602e-06,3.6158340250522613e-06,3.6158251099202214e-06,2.465581101958866e-06
24,P_V5_BC5_outlet,77017.19587881281,77017.41522270383,2.847985940220541e-06,0.06767490520252173,0.06767571120858931,1.1909969658190688e-05
25,Q_V5_BC5_outlet,4.153780424698383,4.153792254606631,2.8479859400660308e-06,3.6499212090184566e-06,3.6499646845987146e-06,1.1911375004655924e-05
26,P_V6_BC6_outlet,76574.11431045846,76574.20367218019,1.1669964782122274e-06,0.06790207139501989,0.06790188909922132,2.6846868559729158e-06
27,Q_V6_BC6_outlet,3.966556075445118,3.966560704402088,1.1669964780863054e-06,3.5173423182079938e-06,3.5173328816064747e-06,2.6828783397769694e-06
28,var_0_V0,77274.12563977491,77274.14977478734,3.1232980285671174e-07,0.06731142653294431,0.0673111945003334,3.447150400078254e-06
29,var_0_V1,76853.29441506637,76853.34618671292,6.736425152458902e-07,0.06717515680826511,0.06717501638867276,2.0903500492521468e-06
30,var_0_V2,76313.65499726665,76313.5579788827,1.2713109332287586e-06,0.06733151621330954,0.06733129019901221,3.3567385682676494e-06
31,var_0_V3,77211.80153039996,77211.86259713961,7.908990393134238e-07,0.06733509939766327,0.06733507102519094,4.213622996579516e-07
32,var_0_V4,76912.29143433773,76912.41647695634,1.6257819949147592e-06,0.06723999735002852,0.0672398636104721,1.988988127398166e-06
33,var_0_V5,77017.19590916147,77017.41525305362,2.8479859538359007e-06,0.0673545342217024,0.0673553778712396,1.2525504733285499e-05
34,var_0_V6,76574.11438697574,76574.20374869724,1.1669964741955421e-06,0.06709432791895514,0.06709414277118543,2.7595144843919683e-06
35,var_0_BC1_outlet,75277.09130414916,75277.1420139983,6.736425153742356e-07,0.0,0.0,
36,var_0_BC2_outlet,74700.00317658961,74699.9082096599,1.2713109193184045e-06,0.0,0.0,
37,var_0_BC4_outlet,75328.06812991774,75328.19059693429,1.6257819906205159e-06,0.0,0.0,
38,var_0_BC5_outlet,75445.89468144097,75446.10955028827,2.8479859401567743e-06,0.0,0.0,
39,var_0_BC6_outlet,74962.59277649027,74962.68025757204,1.1669964781376991e-06,0.0,0.0,
